
 hhqi                  'Household questionnaire number'                                                  
 hhid                  'Household identifier'                                                            
 pid                   'Individual identifier'                                                           
 w1_r_b1               'b1 - Pcode of Household member'                                                  
 w1_r_phase            '- - Phase in Wave'                                                               
 w1_r_b1_1             'b1_1 - Residency status'                                                         
 w1_r_b3               'b3 - Household member’s relationship to Resident head'                           
 w1_r_b4               'b4 - Gender of household member'                                                 
 w1_r_b5_m             'b5 - Date of birth - month only'                                                 
 w1_r_b5_y             'b5 - Date of birth - year only'                                                  
 w1_r_best_age_yrs     'Best age in years'                                                               
 w1_r_b6               'b6 - Age in years'                                                               
 w1_r_b7               'b7 - Highest educational qualification achieved'                                 
 w1_r_b7o              'B7o. Other'                                                                      
 w1_r_b8               'b8 - Marital status'                                                             
 w1_r_b9               'b9 - Spouse/Partner’s pcode'                                                     
 w1_r_b10              'b10 - Father’s pcode'                                                            
 w1_r_b11              'b11 - Mother’s pcode'                                                            
 w1_r_b12              'b12 - Respondent resides at house at least 4 nights a week'                      
 w1_r_b13              'b13 - Number of months spent outside household'                                  
 w1_r_b14              'b14 - Reason for abscence'                                                       
 w1_r_b14o             'B14o. Other reasons Person 01'                                                   
 w1_r_b15              'b15 - Province that household member resides in'                                 
 w1_r_b16              'b16 - Type of accommodation absent household member stays in'                    
 w1_r_b16o             'B16o. Other accommodation Person 01'                                             
 w1_h_a4               'a4 - Pcode of Main respondent'                                                   
 w1_h_phase            '- - Phase in Wave'                                                               
 w1_h_a15              'a15 - Preferred Language'                                                        
 w1_h_intview_code     'a - Interviewer Code'                                                            
 w1_h_intview_est      'a - Interviewer Code Imputed'                                                    
 w1_h_a17_m            'a17_m Interview _month'                                                          
 w1_h_a17_y            'a17_y Interview _year'                                                           
 w1_h_a18              'a18 - Interview start time'                                                      
 w1_h_c1               'c1 - Death of a Household member'                                                
 w1_h_c3_1             'c3_2 - Gender of the deceased '                                                  
 w1_h_c4_1             'c4_1 - Relationship of deceased to Household Head '                              
 w1_h_c5_1_m           'c5_1 - Date of death for person 1 - month only'                                  
 w1_h_c5_1_y           'c5_1 - Date of death for person 1 - year only'                                   
 w1_h_c6_1             'c6_1 - Age in years'                                                             
 w1_h_c7_1             'c7_1 - Died of non-natural causes'                                               
 w1_h_c3_2             'C3. What was...gender? 02'                                                       
 w1_h_c4_2             'c4_2 - Relationship of deceased to Household Head'                               
 w1_h_c5_2_m           'c5_2 - Date of death for person 2 - month only'                                  
 w1_h_c5_2_y           'c5_2 - Date of death for person 2 - year only'                                   
 w1_h_c6_2             'c6_2 - Age in years'                                                             
 w1_h_c7_2             'c7_2 - Died of non-natural causes'                                               
 w1_h_c3_3             'c3_3 - Gender of the deceased '                                                  
 w1_h_c4_3             'c4_3 - Relationship of deceased to Household Head'                               
 w1_h_c5_3_m           'c5_3 - Date of death for person 3 - month only'                                  
 w1_h_c5_3_y           'c5_3 - Date of death for person 3 - year only'                                   
 w1_h_c6_3             'c6_3 - Age in years'                                                             
 w1_h_c7_3             'c7_3 - Died of non-natural causes'                                               
 w1_h_c3_4             'c3_4 - Gender of the deceased '                                                  
 w1_h_c4_4             'c4_4 - Relationship of deceased to Household Head'                               
 w1_h_c5_4_m           'c5_4 - Date of death for person 4 - month only'                                  
 w1_h_c5_4_y           'c5_4 - Date of death for person 4 - year only'                                   
 w1_h_c6_4             'c6_4 - Age in years'                                                             
 w1_h_c7_4             'c7_4 - Died of non-natural causes'                                               
 w1_h_c3_5             'c3_5 - Gender of the deceased '                                                  
 w1_h_c4_5             'c4_5 - Relationship of deceased to Household Head'                               
 w1_h_c5_5_m           'c5_6 - Date of death for person 5 - month only'                                  
 w1_h_c5_5_y           'c5_6 - Date of death for person 5 - year only'                                   
 w1_h_c6_5             'c6_5 - Age in years'                                                             
 w1_h_c7_5             'c7_5 - Died of non-natural causes'                                               
 w1_h_d1               'd1 - Type of dwelling'                                                           
 w1_h_d2               'd2 - Number of rooms in household'                                               
 w1_h_d3_1             'd3_1 - Main material used for roof'                                              
 w1_h_d3_2             'd3_2 - Main material used for walls'                                             
 w1_h_d4               'd4 - Household member owns the dwelling'                                         
 w1_h_d5_1             'd5_1 - Pcode of household member (1) who owns the dwelling'                      
 w1_h_d5_2             'd5_2 - Pcode of household member (2) who owns the dwelling'                      
 w1_h_d5_3             'd5_3 - Pcode of household member (3) who owns the dwelling'                      
 w1_h_d6               'd6 - Property is paid off'                                                       
 w1_h_d7               'd7 - Amount of bond still owing'                                                 
 w1_h_d8               'd8 - Monthly bond payment'                                                       
 w1_h_d9               'd9 - Amount of rent that could be collected on dwelling'                         
 w1_h_d10              'd10 - The household pays rent'                                                   
 w1_h_d11              'd11 - Amount paid for rent on dwelling'                                          
 w1_h_d12              'd12 - Amount of rent willing to pay'                                             
 w1_h_d13              'd13 - Reasonable market value for property'                                      
 w1_h_d14              'd14 - Household was a recipient of government housing subsidy'                   
 w1_h_d15              'd15 - Amount of subsidy received'                                                
 w1_h_d16              'd16 - Household was a recipient of government land grant'                        
 w1_h_d17              'd17 - Household received land via the land restitution process'                  
 w1_h_d18              'd18 - Household’s main water source'                                             
 w1_h_d19              'd19 - Distance of water source from dwelling'                                    
 w1_h_d20              'd20 - Type of toilet facility available to household'                            
 w1_h_d21              'd21 - Household’s toilet facility is shared with other households'               
 w1_h_d22              'd22 - Household has electricity'                                                 
 w1_h_d23_1            'd23_1 - Household’s main source of energy/fuel  for cooking'                     
 w1_h_d23_2            'd23_2 - Household’s main source of energy/fuel  for heating'                     
 w1_h_d23_3            'd23_3 - Household’s main source of energy/fuel  for lighting'                    
 w1_h_d24              'd24 - Household has a landline telephone in the dwelling'                        
 w1_h_d25              'd25 - Household has a cellphone available for regular use'                       
 w1_h_d26_1            'd26_1 - Time taken to nearest train by foot'                                     
 w1_h_d26_2            'd26_2 - Time taken to reach nearest bus by foot'                                 
 w1_h_d26_3            'd26_3 - Time taken to reach nearest minibus taxi by foot'                        
 w1_h_d27              'd27 - Refuse/Rubbish is removed weekly by local authorities'                     
 w1_h_d28              'd28 - Existence of street lighting near dwelling'                                
 w1_h_d29              'd29 - In the past year did an adult go hungry'                                   
 w1_h_d30              'd30 - In the past year did a child go hungry'                                    
 w1_h_d31              'd31 - Household expenditiure in last 30 days'                                    
 w1_h_d32_1            'd32_1 - Food consumption in relation to household’s needs'                       
 w1_h_d32_2            'd32_2 - Housing in relation to household’s needs'                                
 w1_h_d32_3            'd32_3 - Clothing in relation to household’s needs'                               
 w1_h_d32_4            'd32_4 - Healthcare cover in relation to household’s needs'                       
 w1_h_d32_5            'd32_5 - Schooling of children in relation to household’s needs'                  
 w1_h_d33_1            'd33_1 - Neighbours help each other out'                                          
 w1_h_d33_2            'd33_2 - Neighbours do things together'                                           
 w1_h_d33_3            'd33_3 - Neighbours are aggressive'                                               
 w1_h_d33_4            'd33_4 - Theft and burglary in the neighbourhood'                                 
 w1_h_d34              'd34 - Household member received income from employment/self-employment'          
 w1_h_d35              'd35 - Household member received rental income'                                   
 w1_h_d36              'd36 - Household member received government grant'                                
 w1_h_d37              'd37 - Household member received income from private pension, dividends, interest'
 w1_h_d38              'd38 - Total household’s monthly  income after tax'                               
 w1_h_d39              'd39 - Total household’s monthly  income after tax: Showcard'                     
 w1_h_e1_1             'e1_1 - Total household food expenditure in last 30 days'                         
 w1_h_e1_2_1           'e1_2_1 - Mealie meal was consumed in last 30 days'                               
 w1_h_e1_3_1           'e1_3_1 - Amount spent on Mealie Meal in last 30 days'                            
 w1_h_e1_4_1           'e1_4_1 - Value of mealie meal received as gifts in last 30 days'                 
 w1_h_e1_5_1           'e1_5_1 - Value of mealie meal received as payment in last 30 days'               
 w1_h_e1_6_1           'e1_6_1 - Value of mealie meal eaten own production/own shop in last 30days'      
 w1_h_e1_2_2           'e1_2_2 - Samp was consumed in last 30 days'                                      
